input_id	dealiased_id	standard_id	short_id
doi:10.7554/eLife.32822	doi:10.7554/eLife.32822	doi:10.7554/elife.32822	IhliSZDo
pmc:PMC6103790	pmc:PMC6103790	pmc:PMC6103790	mSMVRkoc
pubmed:30718888	pubmed:30718888	pubmed:30718888	126Wi5Us4
wikidata:Q56458321	wikidata:Q56458321	wikidata:Q56458321	QhC8yJ7V
isbn:9780262517638	isbn:9780262517638	isbn:9780262517638	zBPP9YKu
https://greenelab.github.io/meta-review	https://greenelab.github.io/meta-review	url:https://greenelab.github.io/meta-review	6acIRW4q
deep-review	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
doi:10.1109/DCABES.2017.55	doi:10.1109/DCABES.2017.55	doi:10.1109/dcabes.2017.55	Vv7kACVp
doi:10.1109/IJCNN.2017.7966030	doi:10.1109/IJCNN.2017.7966030	doi:10.1109/ijcnn.2017.7966030	1HLgGSDUB
doi:10.1109/MDM.2019.00-38	doi:10.1109/MDM.2019.00-38	doi:10.1109/mdm.2019.00-38	gC2MdiBl
https://kaggle.com/hmavrodiev/london-bike-sharing-dataset	https://kaggle.com/hmavrodiev/london-bike-sharing-dataset	url:https://kaggle.com/hmavrodiev/london-bike-sharing-dataset	FhImuEB0
doi:10.1016/j.cstp.2019.02.011	doi:10.1016/j.cstp.2019.02.011	doi:10.1016/j.cstp.2019.02.011	kk8U5Ihm
